"chat_text","intent"
"ada lowongan ui/ux designer yang full wfh ngga","cari_lowongan"
"makasih","salam_sapaan"
"bsa tolong translate dokumen ini ke bahasa inggris ga?","out_of_context"
"gimana cara pakai job match score","bantuan_fitur_aplikasi"
"cekin profil saya dong, udah cocok belum lamar backend developer di startup?","analisis_skill_gap"
"format cv yang disukai ats itu gmn ya sih","tanya_tips_rekrutmen"
"minta saran roadmap karir untuk frontend developer","tanya_roadmap_karir"
"format cv yg disukai ats itu gimana sih","tanya_tips_rekrutmen"
"tips membangun personal branding di linkedin","tanya_tips_rekrutmen"
"aku punya skill kubernetes, cocok ga apply qa engineer?.","analisis_skill_gap"
"cara baca dashboard job market gmn ya sih","bantuan_fitur_aplikasi"
"cek loker backend developer yang available dong","cari_lowongan"
"skill aws aku udah cukup belum buat lamar data scientist?","analisis_skill_gap"
"tunjukin daftar lowongan qa engineer dong","cari_lowongan"
"bisa minta tolong cek upload cv saya","bantuan_fitur_aplikasi"
"skill python aku udah cukup belum bt lamar fullstack developer?","analisis_skill_gap"
"alur belajar frontend developer buat pemula","tanya_roadmap_karir"
"cek kecocokan profil saya sama loker frontend developer dng","analisis_skill_gap"
"cara baca upload cv gimana sih","bantuan_fitur_aplikasi"
"ada loker backend developer hari ini?","cari_lowongan"
"kok cv analyzer error ya?","bantuan_fitur_aplikasi"
"cara pake tombol upload cv ini gmn","bantuan_fitur_aplikasi"
"menu upload cv sebelah mana min","bantuan_fitur_aplikasi"
"tools apa aja yang wajib dipelajari buat fullstack developer","tanya_roadmap_karir"
"aku bingung cara lihat job match score","bantuan_fitur_aplikasi"
"tools apa aja yang wajib dipelajari buat machine learning engineer","tanya_roadmap_karir"
"tunjukin daftar lowongan fullstack developer dong.","cari_lowongan"
"resep nasi goreng enak.","out_of_context"
"hari ini cuacanya gimana.","out_of_context"
"kira-kira peluang aku diterima sebagai fullstack developer gede nggak?","analisis_skill_gap"
"cara save hasil dashboard job market gimana?","bantuan_fitur_aplikasi"
"eh, kalau gw udah isi data, itu otomatis masuk ke pdf yang di-generate job match score ga sih.","bantuan_fitur_aplikasi"
"kenapa dashboard job market gk muncul","bantuan_fitur_aplikasi"
"cek loker data analyst yang available dng.","cari_lowongan"
"referensi roadmap machine learning engineer tahun ini","tanya_roadmap_karir"
"haii.","salam_sapaan"
"fitur buat nyimpen loker ini sebelah mana sih kok tiba-tiba ilang","bantuan_fitur_aplikasi"
"gimana cara manipulasi hasil psikotes online?","out_of_context"
"gimana cara pakai bookmark loker?","bantuan_fitur_aplikasi"
"gimana cara nego gaji biar gak kerendahan","tanya_tips_rekrutmen"
"kenapa wifi indihome sering down ya","out_of_context"
"bisa tolong review profil aku cocok ngga buat loker ui/ux designer?","analisis_skill_gap"
"minta saran roadmap karir untuk ui/ux designer","tanya_roadmap_karir"
"filter loker devops engineer yang gajinya di atas 10 juta dng","cari_lowongan"
"kemarin gue ditolak hrd terus, mending tambahin apa ya di porto gue?","tanya_tips_rekrutmen"
"kemarin gw ditolak hrd terus, mending tambahin apa ya di porto gw?","tanya_tips_rekrutmen"
"min, upload cv itu fungsinya buat apa?","bantuan_fitur_aplikasi"
"cara baca bookmark loker gmn sih","bantuan_fitur_aplikasi"
"bsa tolong translate dokumen ini ke bahasa inggris ga","out_of_context"
"cara pake tombol dashboard job market ini gimana.","bantuan_fitur_aplikasi"
"HRD tuh suka CV yang kayak gmn sih bwt backend developer?","tanya_tips_rekrutmen"
"kenapa notifikasi gak muncul","bantuan_fitur_aplikasi"
"Cara pake tombol bookmark loker ini gimana?","bantuan_fitur_aplikasi"
"bikinin caption linkedin bwt pamer sertifikat donk","out_of_context"
"awal belajar data analyst tuh harus kuasain node.js dulu ya","tanya_roadmap_karir"
"tolong cariin loker frontend developer dong","cari_lowongan"
"format cv ygn disukai ats itu gimana sih?.","tanya_tips_rekrutmen"
"kalau dari non-it ke data analyst urutannya gimana min?","tanya_roadmap_karir"
"roadmap belajar data analyst dong min","tanya_roadmap_karir"
"ada lowongan fullstack developer yang full wfh ngga","cari_lowongan"
"kekurangan CV saya untuk loker fullstack developer apa aja","analisis_skill_gap"
"tolong analisis skill gap aku untuk loker machine learning engineer","analisis_skill_gap"
"ada lowongan data analyst yang full wfh ngga?","cari_lowongan"
"bs tolong buatin study plan buat mobile developer?","tanya_roadmap_karir"
"minta tolong cara ganti password dng","bantuan_fitur_aplikasi"
"hi, terima kasih","salam_sapaan"
"kalo mau fokus ke docker buat jadi data scientist jalurnya gimana?.","tanya_roadmap_karir"
"fitur buat nyimpen loker ini sebelah mana sih kok tiba-tiba ilang?","bantuan_fitur_aplikasi"
"bisa tolong buatin study plan buat mobile developer.","tanya_roadmap_karir"
"menu job match score sebelah mana min","bantuan_fitur_aplikasi"
"cara jawab kelemahan diri pas interview gimana.","tanya_tips_rekrutmen"
"cara baca notifikasi gimana sih?","bantuan_fitur_aplikasi"
"kekurangan CV saya untuk loker ui/ux designer apa aja","analisis_skill_gap"
"bro, job match score perlu di-upload ke profil gw ga sih naruhnya di tab mana","bantuan_fitur_aplikasi"
"skill figma aku udah cukup belum buat lamar backend developer.","analisis_skill_gap"
"mau jadi devops engineer harus mulai dari mana?","tanya_roadmap_karir"
"tab skill gap analysis di profil gua kok ngeblank putih doang ya","bantuan_fitur_aplikasi"
"tolong jelasin dong cara kerja algoritma dijkstra","out_of_context"
"bro, job match score perlu di-upload ke profil gw gak sih? naruhnya di tab mana?","bantuan_fitur_aplikasi"
"cara ngadepin atasan yang toxic gimana ya","out_of_context"
